,account_name,month,channel,post_id,engagement,rankengage
30578,กับข้าวกับปลาโอ Plaocooking,July,facebook,66,6532082,6.0
40033,หมอแล็บแพนด้า,December,facebook,227,6529871,11.0
30581,กับข้าวกับปลาโอ Plaocooking,June,facebook,62,6470452,3.0
31648,ข้าวจ้าว หมากวนตีน,November,facebook,88,6460792,7.0
26423,hastation,August,instagram,584,6428708,5.0
19623,Sale here,November,facebook,11384,6382114,8.0
36212,ผู้หญิง Salaryman Thailand,May,facebook,1280,6282828,4.0
32370,คาราโอเกะชั้นใต้ดิน,February,facebook,80,6265950,3.0
32380,คาราโอเกะชั้นใต้ดิน,May,facebook,66,6158808,5.0
30586,กับข้าวกับปลาโอ Plaocooking,May,facebook,64,5984493,6.0
32376,คาราโอเกะชั้นใต้ดิน,June,facebook,63,5892469,4.0
19621,Sale here,May,facebook,8129,5885274,7.0
28616,pantipa,December,instagram,38,5825297,1.0
21548,Tagple,June,facebook,21,5786423,5.0
35789,ปันโปร - Punpromotion,April,facebook,5793,5766637,6.0
32364,คาราโอเกะชั้นใต้ดิน,April,facebook,69,5749771,7.0
35798,ปันโปร - Punpromotion,November,facebook,10173,5737574,9.0
40043,หมอแล็บแพนด้า,May,facebook,244,5681771,8.0
19626,Sale here,October,facebook,9776,5636489,9.0
19601,Sale here,April,facebook,6917,5603338,8.0
19603,Sale here,August,facebook,10491,5594728,7.0
40039,หมอแล็บแพนด้า,July,facebook,260,5590191,7.0
35793,ปันโปร - Punpromotion,January,facebook,7275,5580235,5.0
36210,ผู้หญิง Salaryman Thailand,June,facebook,1263,5552240,6.0
26431,hastation,November,instagram,493,5551138,7.0
9416,Guy Haru Family,June,facebook,330,5548568,7.0
19619,Sale here,March,facebook,8508,5539413,4.0
9418,Guy Haru Family,March,facebook,300,5529753,5.0
19614,Sale here,July,facebook,11124,5503996,8.0
7121,Extreme IT,November,youtube,40,5482732,1.0
9420,Guy Haru Family,May,facebook,380,5468309,9.0
26428,hastation,June,instagram,521,5451328,2.0
31642,ข้าวจ้าว หมากวนตีน,June,facebook,64,5449464,8.0
31646,ข้าวจ้าว หมากวนตีน,May,facebook,64,5447097,10.0
35791,ปันโปร - Punpromotion,December,facebook,10638,5429958,12.0
30565,กับข้าวกับปลาโอ Plaocooking,April,facebook,59,5419751,9.0
32378,คาราโอเกะชั้นใต้ดิน,March,facebook,89,5344414,6.0
30584,กับข้าวกับปลาโอ Plaocooking,March,facebook,58,5332217,7.0
26424,hastation,December,instagram,544,5307357,2.0
5968,Drama-addict,May,facebook,1531,5276259,11.0
30573,กับข้าวกับปลาโอ Plaocooking,February,facebook,53,5219304,4.0
45039,ใต้เตียงดารา,September,facebook,647,5187954,7.0
9410,Guy Haru Family,February,facebook,304,5183504,5.0
9404,Guy Haru Family,April,facebook,339,5170059,10.0
9414,Guy Haru Family,July,facebook,464,5118465,9.0
21555,Tagple,November,facebook,35,5098862,10.0
36208,ผู้หญิง Salaryman Thailand,January,facebook,1230,5068275,6.0
19612,Sale here,January,facebook,9256,5058424,7.0
40267,หมูหิว,November,facebook,1605,5041707,11.0
19617,Sale here,June,facebook,10664,4968694,9.0
5966,Drama-addict,June,facebook,1378,4967866,10.0
25750,djpetjah channel,August,instagram,180,4934378,6.0
45037,ใต้เตียงดารา,October,facebook,666,4897644,10.0
36566,พิมฐา Pimtha,February,instagram,42,4887444,2.0
39813,หนูน้อยบนยอดเขาอันหนาวเหน็บ,June,facebook,210,4885869,11.0
35792,ปันโปร - Punpromotion,February,facebook,7328,4836788,6.0
41352,อีเจี๊ยบ เลียบด่วน,March,facebook,150,4820396,8.0
19609,Sale here,February,facebook,8407,4803312,7.0
36567,พิมฐา Pimtha,January,instagram,42,4775468,2.0
9406,Guy Haru Family,August,facebook,387,4774086,8.0
35796,ปันโปร - Punpromotion,March,facebook,6995,4774047,9.0
45019,ใต้เตียงดารา,August,facebook,630,4752142,9.0
25747,djpetjah channel,April,instagram,165,4721158,2.0
25762,djpetjah channel,July,instagram,170,4698863,3.0
36204,ผู้หญิง Salaryman Thailand,April,facebook,1320,4670888,11.0
13129,Lowcostcosplay,March,facebook,74,4670843,10.0
36207,ผู้หญิง Salaryman Thailand,February,facebook,1186,4669778,8.0
31453,ขอบสหนัง,April,facebook,620,4625836,12.0
35797,ปันโปร - Punpromotion,May,facebook,6267,4598133,12.0
40270,หมูหิว,October,facebook,1136,4561695,11.0
25765,djpetjah channel,June,instagram,148,4557077,3.0
25756,djpetjah channel,February,instagram,159,4550887,3.0
19629,Sale here,September,facebook,9330,4547202,8.0
40032,หมอแล็บแพนด้า,August,facebook,198,4530258,10.0
25768,djpetjah channel,March,instagram,150,4506820,3.0
45031,ใต้เตียงดารา,March,facebook,640,4455362,11.0
31640,ข้าวจ้าว หมากวนตีน,July,facebook,54,4435193,10.0
31467,ขอบสหนัง,March,facebook,652,4416921,12.0
35823,ปันโปร promotion,September,instagram,382,4415992,7.0
35803,ปันโปร promotion,August,instagram,374,4400239,7.0
42934,เมีย,November,facebook,252,4356881,12.0
42927,เมีย,December,facebook,259,4356745,13.0
42935,เมีย,October,facebook,260,4354750,12.0
36574,พิมฐา Pimtha,September,instagram,41,4353621,8.0
35819,ปันโปร promotion,November,instagram,405,4330284,8.0
35795,ปันโปร - Punpromotion,June,facebook,8736,4329644,12.0
45023,ใต้เตียงดารา,February,facebook,689,4326797,9.0
39460,สิ่งเล็กๆที่เรียกว่ารัก,February,facebook,855,4304008,10.0
21536,Tagple,August,facebook,22,4236206,11.0
45017,ใต้เตียงดารา,April,facebook,610,4234291,13.0
35799,ปันโปร - Punpromotion,October,facebook,9199,4218095,13.0
42928,เมีย,February,facebook,815,4217600,11.0
35790,ปันโปร - Punpromotion,August,facebook,8167,4207943,12.0
21553,Tagple,May,facebook,20,4198954,13.0
25759,djpetjah channel,January,instagram,146,4166953,3.0
40048,หมอแล็บแพนด้า,September,facebook,198,4133048,9.0
28623,pantipa,November,instagram,29,4097693,9.0
36211,ผู้หญิง Salaryman Thailand,March,facebook,1218,4086813,13.0
35811,ปันโปร promotion,July,instagram,361,4044254,4.0
39468,สิ่งเล็กๆที่เรียกว่ารัก,March,facebook,884,4031597,14.0
35800,ปันโปร - Punpromotion,September,facebook,7857,4028281,10.0
45021,ใต้เตียงดารา,December,facebook,758,4027709,14.0
45027,ใต้เตียงดารา,July,facebook,634,4022590,11.0
45029,ใต้เตียงดารา,June,facebook,592,3985872,13.0
13131,Lowcostcosplay,November,facebook,43,3948353,13.0
35815,ปันโปร promotion,March,instagram,377,3940069,4.0
35821,ปันโปร promotion,October,instagram,383,3936119,8.0
36213,ผู้หญิง Salaryman Thailand,November,facebook,768,3932160,14.0
32372,คาราโอเกะชั้นใต้ดิน,January,facebook,77,3930983,8.0
40040,หมอแล็บแพนด้า,June,facebook,232,3930547,14.0
31630,ข้าวจ้าว หมากวนตีน,April,facebook,87,3919264,14.0
23161,TripTH ทริปไทยแลนด์,June,facebook,1351,3910183,15.0
31475,ขอบสหนัง,September,facebook,539,3901135,11.0
45033,ใต้เตียงดารา,May,facebook,551,3888355,14.0
45025,ใต้เตียงดารา,January,facebook,564,3882922,9.0
31455,ขอบสหนัง,August,facebook,526,3870152,13.0
35794,ปันโปร - Punpromotion,July,facebook,8763,3858889,12.0
9426,Guy Haru Family,September,facebook,348,3845190,12.0
11776,Kaykai Salaider,July,instagram,24,3845109,5.0
1181,Alrisaa,December,instagram,42,3794580,3.0
35805,ปันโปร promotion,December,instagram,381,3760438,4.0
31457,ขอบสหนัง,December,facebook,661,3745475,15.0
30531,กองทัพ ยายี,October,facebook,145,3727300,14.0
41339,อีเจี๊ยบ เลียบด่วน,April,facebook,172,3709113,15.0
37445,ม้าเฉียว ดูหุ้น The Future,August,facebook,357,3706820,14.0
42151,เทย กะ ทะ,November,facebook,270,3706494,15.0
1193,Alrisaa,November,instagram,47,3700313,10.0
8962,Gluta Story,December,facebook,145,3677634,16.0
21559,Tagple,September,facebook,23,3659221,13.0
33267,ชีวิตติดรีวิว,April,facebook,1002,3651478,16.0
42916,เมอา พรพรรณ เรืองปัญญาธรรม,March,instagram,62,3643101,5.0
30094,vanda29,January,instagram,40,3632131,4.0
45035,ใต้เตียงดารา,November,facebook,619,3608442,16.0
24801,Zom Marie,December,facebook,210,3569204,17.0
40035,หมอแล็บแพนด้า,February,facebook,123,3563498,12.0
35809,ปันโปร promotion,January,instagram,362,3560055,5.0
31459,ขอบสหนัง,February,facebook,546,3540479,13.0
8983,Gluta Story,November,facebook,103,3523448,17.0
40246,หมูหิว,December,facebook,1649,3522050,18.0
11788,Kaykai Salaider,September,instagram,15,3509905,9.0
31652,ข้าวจ้าว หมากวนตีน,September,facebook,85,3509019,14.0
13124,Lowcostcosplay,December,facebook,49,3498816,19.0
31471,ขอบสหนัง,November,facebook,508,3492255,18.0
13128,Lowcostcosplay,June,facebook,25,3471837,16.0
25771,djpetjah channel,May,instagram,157,3467486,3.0
36573,พิมฐา Pimtha,October,instagram,30,3462159,9.0
31461,ขอบสหนัง,January,facebook,486,3456650,10.0
36209,ผู้หญิง Salaryman Thailand,July,facebook,1327,3416878,13.0
30530,กองทัพ ยายี,November,facebook,149,3411380,19.0
7119,Extreme IT,May,youtube,54,3407335,1.0
7123,Extreme IT,October,youtube,51,3400996,1.0
25752,djpetjah channel,December,facebook,287,3386265,20.0
11786,Kaykai Salaider,October,instagram,19,3381670,10.0
39150,สอดอStyle,December,facebook,177,3378712,21.0
7125,Extreme IT,September,youtube,53,3364814,1.0
31463,ขอบสหนัง,July,facebook,573,3356234,14.0
13132,Lowcostcosplay,October,facebook,32,3353190,15.0
17609,Pantipa.a,December,facebook,65,3340285,22.0
25780,djpetjah channel,September,instagram,167,3338500,10.0
8968,Gluta Story,January,facebook,103,3331175,11.0
38958,สมาคมกวนTeen,May,facebook,490,3308747,15.0
21546,Tagple,July,facebook,19,3301418,15.0
14063,Mawinfinferrr,October,facebook,55,3296008,16.0
7113,Extreme IT,July,youtube,52,3295803,1.0
39462,สิ่งเล็กๆที่เรียกว่ารัก,January,facebook,927,3290415,12.0
36205,ผู้หญิง Salaryman Thailand,August,facebook,1309,3276080,15.0
24830,Zom Marie,October,facebook,208,3274364,17.0
13123,Lowcostcosplay,August,facebook,21,3272589,16.0
10109,I Roam Alone,June,facebook,60,3270046,17.0
36563,พิมฐา Pimtha,April,instagram,22,3262898,3.0
23311,Unseen Tour Thailand,January,facebook,249,3255755,13.0
31469,ขอบสหนัง,May,facebook,634,3240794,16.0
25773,djpetjah channel,November,facebook,312,3228451,20.0
36215,ผู้หญิง Salaryman Thailand,September,facebook,1120,3220663,15.0
40243,หมูหิว,August,facebook,771,3218354,17.0
13126,Lowcostcosplay,January,facebook,30,3217974,14.0
12430,Kyutae Oppa - คิวเท โอ็ปป้า,April,facebook,93,3188450,17.0
35807,ปันโปร promotion,February,instagram,352,3185709,4.0
37455,ม้าเฉียว ดูหุ้น The Future,September,facebook,630,3183988,16.0
40312,หม่อมถนัดแดก,June,facebook,313,3183174,18.0
31650,ข้าวจ้าว หมากวนตีน,October,facebook,38,3182701,18.0
35813,ปันโปร promotion,June,instagram,357,3182580,4.0
42914,เมอา พรพรรณ เรืองปัญญาธรรม,June,instagram,46,3177113,5.0
24812,Zom Marie,July,facebook,135,3173167,16.0
28624,pantipa,October,instagram,24,3163502,11.0
7015,EventPass,December,facebook,5572,3152860,23.0
41354,อีเจี๊ยบ เลียบด่วน,May,facebook,147,3149411,17.0
24827,Zom Marie,November,facebook,196,3140501,21.0
33295,ชีวิตติดรีวิว,March,facebook,487,3135461,15.0
31465,ขอบสหนัง,June,facebook,571,3125679,19.0
13125,Lowcostcosplay,February,facebook,31,3118401,14.0
42910,เมอา พรพรรณ เรืองปัญญาธรรม,January,instagram,61,3105827,6.0
23167,TripTH ทริปไทยแลนด์,May,facebook,1198,3096199,18.0
40252,หมูหิว,January,facebook,264,3090821,15.0
40258,หมูหิว,June,facebook,419,3084724,20.0
39815,หนูน้อยบนยอดเขาอันหนาวเหน็บ,March,facebook,248,3071088,16.0
41348,อีเจี๊ยบ เลียบด่วน,July,facebook,104,3069782,17.0
9424,Guy Haru Family,October,facebook,367,3068916,19.0
31473,ขอบสหนัง,October,facebook,610,3054142,20.0
1189,Alrisaa,March,instagram,49,3033145,6.0
33303,ชีวิตติดรีวิว,November,facebook,1133,3015564,22.0
10106,I Roam Alone,July,facebook,54,3003016,18.0
39239,สะบัดแปรง,April,instagram,74,2987713,4.0
8980,Gluta Story,May,facebook,159,2980580,19.0
31632,ข้าวจ้าว หมากวนตีน,August,facebook,58,2971747,18.0
31685,คนตัวดำ,February,facebook,322,2967104,15.0
25753,djpetjah channel,December,instagram,149,2963459,5.0
31686,คนตัวดำ,January,facebook,385,2953148,16.0
25777,djpetjah channel,October,instagram,131,2947173,12.0
14060,Mawinfinferrr,November,facebook,58,2939110,23.0
35801,ปันโปร promotion,April,instagram,392,2935645,5.0
10095,I Roam Alone,December,facebook,37,2933224,24.0
9422,Guy Haru Family,November,facebook,338,2918544,24.0
40249,หมูหิว,February,facebook,279,2893352,16.0
25774,djpetjah channel,November,instagram,158,2891464,11.0
13308,MNJ TV,May,youtube,24,2891231,2.0
7029,EventPass,November,facebook,5792,2890604,25.0
10119,I Roam Alone,November,facebook,46,2883968,26.0
10098,I Roam Alone,February,facebook,23,2883009,17.0
30523,กองทัพ ยายี,December,facebook,111,2875869,25.0
24815,Zom Marie,June,facebook,149,2873004,21.0
7031,EventPass,October,facebook,6251,2867477,21.0
10116,I Roam Alone,May,facebook,25,2863147,20.0
39817,หนูน้อยบนยอดเขาอันหนาวเหน็บ,May,facebook,188,2849039,21.0
11781,Kaykai Salaider,March,youtube,12,2844871,1.0
7027,EventPass,May,facebook,7306,2844012,22.0
30532,กองทัพ ยายี,September,facebook,121,2820765,17.0
39801,หนูน้อยบนยอดเขาอันหนาวเหน็บ,April,facebook,204,2820270,18.0
9408,Guy Haru Family,December,facebook,376,2805518,26.0
31682,คนตัวดำ,April,facebook,359,2803281,19.0
26767,iiitoei,March,instagram,61,2788021,7.0
41358,อีเจี๊ยบ เลียบด่วน,September,facebook,146,2775398,18.0
11768,Kaykai Salaider,August,instagram,19,2772425,8.0
38942,สมาคมกวนTeen,April,facebook,511,2769278,20.0
12435,Kyutae Oppa - คิวเท โอ็ปป้า,July,facebook,111,2765182,19.0
23170,TripTH ทริปไทยแลนด์,November,facebook,1183,2763996,27.0
40046,หมอแล็บแพนด้า,October,facebook,188,2763948,22.0
38876,ศุภชัย เสมอมิตร โหน่งโชว์,January,facebook,73,2762642,17.0
39251,สะบัดแปรง,January,instagram,64,2762190,7.0
39807,หนูน้อยบนยอดเขาอันหนาวเหน็บ,February,facebook,169,2759410,18.0
23310,Unseen Tour Thailand,February,facebook,237,2748442,19.0
23316,Unseen Tour Thailand,November,facebook,235,2747911,28.0
39144,สอดอStyle,April,facebook,91,2746287,21.0
23317,Unseen Tour Thailand,October,facebook,246,2745783,23.0
30099,vanda29,May,instagram,64,2744212,4.0
41344,อีเจี๊ยบ เลียบด่วน,February,facebook,184,2735603,20.0
13127,Lowcostcosplay,July,facebook,16,2732122,20.0
33625,ดูดวงความรัก,November,facebook,123,2726014,29.0
23315,Unseen Tour Thailand,May,facebook,251,2725624,23.0
7011,EventPass,April,facebook,5966,2718743,22.0
22410,The MATTER,October,facebook,746,2706750,24.0
11743,Kayavine,June,instagram,16,2706076,6.0
36565,พิมฐา Pimtha,December,instagram,27,2702550,6.0
14048,Mawinfinferrr,July,facebook,39,2688307,21.0
40264,หมูหิว,May,facebook,414,2667493,24.0
10122,I Roam Alone,October,facebook,40,2667093,25.0
33299,ชีวิตติดรีวิว,May,facebook,681,2666406,25.0
31689,คนตัวดำ,March,facebook,365,2657404,17.0
33627,ดูดวงความรัก,October,facebook,126,2657272,26.0
41346,อีเจี๊ยบ เลียบด่วน,January,facebook,127,2638524,18.0
25776,djpetjah channel,October,facebook,216,2638383,27.0
11602,Kanin The Movie,December,facebook,308,2637631,27.0
4044,CSI LA,August,facebook,337,2633053,19.0
28625,pantipa,September,instagram,25,2620263,11.0
12432,Kyutae Oppa - คิวเท โอ็ปป้า,December,facebook,62,2620259,28.0
30088,vanda29,April,instagram,45,2619381,6.0
11778,Kaykai Salaider,June,instagram,15,2614754,7.0
41341,อีเจี๊ยบ เลียบด่วน,August,facebook,118,2613902,20.0
10125,I Roam Alone,September,facebook,71,2605931,19.0
42929,เมีย,January,facebook,360,2599783,19.0
36568,พิมฐา Pimtha,July,instagram,21,2597976,6.0
35817,ปันโปร promotion,May,instagram,290,2583105,5.0
8986,Gluta Story,October,facebook,108,2577051,28.0
37446,ม้าเฉียว ดูหุ้น The Future,December,facebook,551,2576819,29.0
23308,Unseen Tour Thailand,August,facebook,248,2563363,21.0
21543,Tagple,January,facebook,21,2554987,20.0
26779,iiitoei,September,instagram,39,2542653,12.0
23313,Unseen Tour Thailand,June,facebook,213,2532985,22.0
23314,Unseen Tour Thailand,March,facebook,262,2532770,18.0
14066,Mawinfinferrr,September,facebook,46,2532302,20.0
40240,หมูหิว,April,facebook,358,2531723,23.0
8977,Gluta Story,March,facebook,149,2523102,19.0
33617,ดูดวงความรัก,July,facebook,132,2517638,22.0
40302,หม่อมถนัดแดก,August,facebook,241,2513961,22.0
17617,Pantipa.a,October,facebook,62,2512231,29.0
28213,nnevvy,May,instagram,21,2499439,6.0
6696,Edward10516 : เอ็ดเวิร์ด,November,facebook,497,2488811,30.0
39783,หนูนาสวีเดน แฟนเฟจ,June,facebook,656,2484267,23.0
30527,กองทัพ ยายี,June,facebook,94,2481363,24.0
6697,Edward10516 : เอ็ดเวิร์ด,October,facebook,627,2480429,30.0
8989,Gluta Story,September,facebook,95,2479704,21.0
33615,ดูดวงความรัก,January,facebook,136,2473180,21.0
1180,Alrisaa,August,instagram,46,2465779,9.0
30093,vanda29,February,instagram,47,2462711,5.0
28621,pantipa,March,instagram,30,2451379,8.0
14036,Mawinfinferrr,August,facebook,58,2451158,23.0
10112,I Roam Alone,March,facebook,51,2451145,20.0
31638,ข้าวจ้าว หมากวนตีน,January,facebook,62,2445662,22.0
19607,Sale here,December,instagram,941,2443997,7.0
36182,ผู้หญิง Beauty Community,August,facebook,403,2431793,24.0
23312,Unseen Tour Thailand,July,facebook,252,2429071,23.0
33611,ดูดวงความรัก,December,facebook,141,2428996,30.0
11774,Kaykai Salaider,January,instagram,14,2423553,8.0
10089,I Roam Alone,April,facebook,32,2423052,24.0
41343,อีเจี๊ยบ เลียบด่วน,December,facebook,139,2422686,31.0
8959,Gluta Story,August,facebook,80,2415782,25.0
33307,ชีวิตติดรีวิว,October,facebook,932,2414426,31.0
13305,MNJ TV,July,youtube,29,2403968,2.0
11782,Kaykai Salaider,May,instagram,12,2402555,7.0
41355,อีเจี๊ยบ เลียบด่วน,November,facebook,147,2400540,31.0
39260,สะบัดแปรง,March,instagram,60,2399374,9.0
12407,Kyutae Oppa,April,youtube,23,2397560,2.0
6698,Edward10516 : เอ็ดเวิร์ด,September,facebook,463,2392752,22.0
8974,Gluta Story,June,facebook,78,2382630,25.0
33622,ดูดวงความรัก,March,instagram,119,2382016,10.0
33628,ดูดวงความรัก,October,instagram,121,2380203,13.0
45169,ไทยเรสซิ่ง-ThaiRacing,December,facebook,113,2370380,32.0
31644,ข้าวจ้าว หมากวนตีน,March,facebook,82,2368221,21.0
26755,iiitoei,December,instagram,40,2365922,8.0
12439,Kyutae Oppa - คิวเท โอ็ปป้า,November,facebook,58,2356983,32.0
27290,karinch1412,April,youtube,24,2354685,3.0
33609,ดูดวงความรัก,August,facebook,127,2353640,26.0
40306,หม่อมถนัดแดก,February,facebook,217,2349211,21.0
23153,TripTH ทริปไทยแลนด์,February,facebook,1662,2348694,22.0
33616,ดูดวงความรัก,January,instagram,120,2348663,9.0
33630,ดูดวงความรัก,September,instagram,120,2348367,13.0
23307,Unseen Tour Thailand,April,facebook,242,2347832,25.0
28614,pantipa,April,instagram,26,2346327,7.0
41350,อีเจี๊ยบ เลียบด่วน,June,facebook,138,2340160,26.0
40255,หมูหิว,July,facebook,532,2338873,24.0
42149,เทย กะ ทะ,December,facebook,240,2337723,33.0
33275,ชีวิตติดรีวิว,December,facebook,1267,2337466,34.0
39785,หนูนาสวีเดน แฟนเฟจ,May,facebook,486,2334644,26.0
20244,Sneak out หนีเที่ยว,May,facebook,1326,2329708,27.0
42912,เมอา พรพรรณ เรืองปัญญาธรรม,July,instagram,32,2329106,7.0
33614,ดูดวงความรัก,February,instagram,112,2315038,6.0
26814,ilaw,October,twitter,520,2313322,1.0
33613,ดูดวงความรัก,February,facebook,116,2303454,23.0
3135,Bivoyage,August,instagram,61,2303289,10.0
24793,Zom Marie,April,facebook,131,2297621,26.0
36198,ผู้หญิง Beauty Community,November,facebook,591,2296019,33.0
39263,สะบัดแปรง,May,instagram,65,2287485,8.0
39168,สอดอStyle,May,facebook,109,2286901,28.0
30526,กองทัพ ยายี,July,facebook,83,2280766,25.0
40044,หมอแล็บแพนด้า,November,facebook,97,2280169,34.0
13306,MNJ TV,June,youtube,25,2273856,1.0
39809,หนูน้อยบนยอดเขาอันหนาวเหน็บ,January,facebook,168,2263440,23.0
14039,Mawinfinferrr,December,facebook,61,2263407,35.0
13310,MNJ TV,October,youtube,25,2259792,2.0
33619,ดูดวงความรัก,June,facebook,123,2259202,27.0
39153,สอดอStyle,February,facebook,122,2252775,24.0
38870,ศุภชัย เสมอมิตร โหน่งโชว์,August,facebook,108,2251635,27.0
1248,Amy Kitiya,July,facebook,209,2246487,26.0
