,account_name,channel,post_id,engagement,rankengage
2855,parnchaneejareview,instagram,4945,13335304,25.0
246,Beam-Oil Family,instagram,614,13318367,26.0
2296,UDiE,youtube,198,13276917,8.0
2390,Wongnai Cooking,facebook,13475,13165082,59.0
3906,สัตว์โลกอมตีน,facebook,2461,12997869,60.0
3358,ติช่า,instagram,328,12815899,27.0
287,Bie The Ska,instagram,928,12773803,28.0
2719,kidmakk,facebook,1760,12728513,61.0
387,CSI LA,facebook,2305,12722619,62.0
923,HEARTROCKER,facebook,432,12694793,63.0
4123,เกมถูกบอกด้วย v.2,facebook,7856,12600614,64.0
3716,มูมมาม,facebook,2817,12363052,65.0
1651,Ohana,facebook,355,12311508,66.0
1712,PRIMKUNG,youtube,281,12232512,9.0
2885,ple nakorn CHANNEL,instagram,715,12210595,29.0
2449,Zom Marie,instagram,568,12188577,30.0
4377,แฟนพันธุ์แท้ : หนังสยองขวัญ,facebook,937,12081547,67.0
3375,ตุ๊ดส์review,facebook,8266,12051137,68.0
2049,Starvingtime เรื่องกินเรื่องใหญ่,facebook,7883,11918396,69.0
4079,อาชิ อาชิตา ศิริภิญญานนท์,instagram,520,11771417,31.0
381,CGGG,youtube,259,11698306,10.0
3186,ครัวพิศพิไล,facebook,3290,11650753,70.0
3303,ชิลไปไหน,facebook,27236,11637492,71.0
286,Bie The Ska,facebook,1295,11631233,72.0
3349,ตั๋วร้อน ป๊อปคอร์นชีส,facebook,2045,11421229,73.0
3611,พลอย ชวพร เลาหพงศ์ชนะ,instagram,942,11420014,32.0
4115,อ้วนจูนเนอร์,facebook,3088,11390189,74.0
2460,a ดวง,instagram,1660,11350302,33.0
301,Bivoyage,instagram,655,11314203,34.0
3889,สอดอStyle,instagram,466,11310913,35.0
2868,perthkvsr,instagram,251,11292280,36.0
686,EventPass,instagram,2949,11272617,37.0
4240,เป็นแม่แมว,twitter,2305,11268020,1.0
2521,cchanatt,instagram,1745,11214371,38.0
3032,กระดานดำ,facebook,1675,11184727,75.0
3587,ผู้บริโภค,facebook,3865,11146542,76.0
3893,สอนลูกออมเงินและลงทุน,facebook,2028,10990339,77.0
3102,กินไปไทยหรั่ง,facebook,1790,10981368,78.0
1540,My Mate Nate,facebook,588,10909689,79.0
1807,PojzPlaza,youtube,201,10755784,11.0
3842,วิวาทะ V2,facebook,2241,10722926,80.0
1247,Lee Gade,instagram,298,10682385,39.0
3018,wongnai.com,facebook,35451,10653392,81.0
4149,เค้าเรียกผมว่าแมว,facebook,1236,10623876,82.0
1409,Meijimill,instagram,160,10544773,40.0
1290,LowGrade,facebook,346,10451804,83.0
188,BASGAMER,facebook,1089,10429230,84.0
1156,Kayavine,instagram,110,10354634,41.0
1191,King so yer,youtube,343,10288701,12.0
1629,Nune noppaluck,facebook,1455,10286102,85.0
3408,ทำกินเอง,facebook,325,10218191,86.0
4232,เบื่อเมีย,facebook,1027,10093179,87.0
3705,มิลค์เศษใจ,twitter,2530,10082379,2.0
4125,เกมเมอร์อมตีน,facebook,3549,10051332,88.0
2997,up_clip,instagram,3753,9970623,42.0
4225,เนสตี้ สไปร์ทซี่,facebook,915,9828886,89.0
2759,manasaproyy,instagram,433,9814540,43.0
3315,ชุมชนคนสร้างซิกแพ็ค sixpackclub.net,facebook,1534,9779628,90.0
4141,เข็มทิศชีวิต ฐิตินาถ ณ พัทลุง,facebook,7340,9553718,91.0
1767,PetchsWorld,twitter,1569,9527738,3.0
3455,นัดเป็ด,facebook,1089,9514636,92.0
1125,KP ตะลอนแหลก,facebook,13811,9471830,93.0
3868,สมาคมกวนTeen,facebook,2176,9461179,94.0
1994,SkizzTV,youtube,255,9417397,13.0
1221,Kyutae Oppa,instagram,183,9358645,44.0
4114,อ้วน,facebook,12745,9249551,95.0
672,Environman,facebook,7632,9222706,96.0
994,I'm Mayyr - Blog,facebook,634,9140062,97.0
3591,ผู้หญิง,facebook,1249,9133852,98.0
2809,nnevvy,instagram,165,9119027,45.0
2721,kidmakk,twitter,2060,9113559,4.0
3484,นี่หรือการ์ตูน,facebook,1034,9056442,99.0
1542,My Mate Nate,youtube,217,8984868,14.0
3617,พาทำ พาทาน,facebook,1494,8957878,100.0
139,Archita Station,facebook,1212,8956400,101.0
859,GamingDose,facebook,7981,8904706,102.0
3644,พี่โบน,facebook,2763,8800438,103.0
360,Brinkkty,instagram,556,8796599,46.0
288,Bie The Ska,youtube,175,8767769,15.0
293,Bigbike Thailand Club,facebook,2782,8745234,104.0
1995,Slang A-hO-lic,facebook,409,8674657,105.0
2563,emmeemm,instagram,411,8648284,47.0
3712,มี่ป๋อง,facebook,1958,8604004,106.0
2608,greantak,instagram,1942,8566478,48.0
1669,Ozrealman,facebook,227,8477005,107.0
1054,Janista,instagram,394,8463835,49.0
1659,Online station,facebook,12372,8442721,108.0
56,A Mom 2 Daughters,facebook,1447,8304465,109.0
4185,เทย กะ ทะ,facebook,691,8261372,110.0
266,Bebe Fit Routine,facebook,753,8201850,111.0
3564,ปั้นหุ่นแซ๊บอายุ30+,facebook,2273,8115029,112.0
3138,ขอแชร์นะ,facebook,2954,8055370,113.0
99,Ajumma Nammy,instagram,492,8052425,50.0
1211,Kru Whan : English On Air - ครูพี่หวาน,facebook,3422,8048550,114.0
2306,Updobybuablink,facebook,2019,7993053,115.0
4539,ไอซ์ ICEPADIE,instagram,686,7927199,51.0
1961,Sean Buranahiran - ฌอน บูรณะหิรัญ,facebook,245,7922013,116.0
4176,เด่วรู้กัน,facebook,46218,7848632,117.0
267,Bebe Fit Routine,instagram,346,7745994,52.0
2201,Thanks For Watching,youtube,725,7714000,16.0
3100,กินไปเหอะ,facebook,5424,7662125,118.0
3820,วัยรุ่นสร้างตัว,facebook,2459,7657039,119.0
1678,PEACH EAT LAEK,facebook,302,7603621,120.0
1291,LowGrade,youtube,350,7541239,17.0
954,HeHaa TV,instagram,471,7414131,53.0
3498,นุ๊ก ไอดอ,twitter,4672,7403063,5.0
1388,Mawinfinferrr,instagram,475,7395343,54.0
4231,เบื่อผัว,facebook,861,7310717,121.0
4480,ไข่แมวx,facebook,345,7240345,122.0
677,Epic Time,youtube,157,7230788,18.0
2923,sakulkyp,instagram,446,7218905,55.0
1764,Perfect English กับครูพี่แอน,instagram,1097,7124539,56.0
3547,บ้ารถ,facebook,868,7075509,123.0
2123,TOR Torpedo,youtube,350,7045988,19.0
4045,อร่อยนัวร์,facebook,278,7013844,124.0
3406,ทาสหมา,facebook,3119,6982613,125.0
2670,iphonemod,facebook,5533,6963050,126.0
2329,WIFI.,facebook,3042,6952566,127.0
1089,Jod  8riew,facebook,497,6820698,128.0
3878,สมาคมรถแต่ง,facebook,3236,6759378,129.0
3285,ฉันกลัวที่แคบ,facebook,7350,6756068,130.0
3054,กาย หงิด,youtube,214,6743081,20.0
3836,วิถีไบค์เกอร์,facebook,2388,6609703,131.0
696,Eyeta,facebook,2589,6572943,132.0
3214,คลิปฮาน้ำตาเล็ด,facebook,2831,6535943,133.0
1653,Ohana,youtube,138,6523205,21.0
1697,PJY Gamer,facebook,824,6467463,134.0
1615,Nontakan Ns.,facebook,624,6448204,135.0
3978,หมาจ๋า,facebook,551,6443214,136.0
3902,สะใภ้เกาหลี by korean,youtube,194,6353200,22.0
4352,แก้ม Gamgy,instagram,232,6271910,57.0
102,Alie BlackCobra,instagram,351,6261151,58.0
437,Chompoo Sangchan Page,facebook,1037,6244627,137.0
1063,Jaytherabbit,facebook,4002,6230500,138.0
1670,Ozrealman,youtube,171,6185493,23.0
4032,อยาก กิน โว้ยยยยยยย,facebook,21702,6151783,139.0
4349,เฮ้ย นี่มันตัดต่อชัดๆ V2,facebook,542,6135183,140.0
2947,sundaekids,instagram,97,6134138,59.0
1993,SkizzTV,facebook,699,6095137,141.0
390,Cafe Story : รีวิวคาเฟ่ ทุกวัน,facebook,18968,6070807,142.0
2814,nongchat,instagram,1982,6045250,60.0
955,HeHaa TV,youtube,203,6035924,24.0
2038,SpriteDer SPD,instagram,35,6002550,61.0
2387,Wongnai Beauty,facebook,15797,5959284,143.0
2355,WeSneaker,facebook,9006,5956488,144.0
1155,Kayavine,facebook,258,5944284,145.0
3645,พี่โบน,instagram,444,5927470,62.0
3954,หนูน้อยบนยอดเขาอันหนาวเหน็บ,instagram,1447,5923191,63.0
273,Benz Apache - เบ๊น อาปาเช่,facebook,857,5861247,146.0
988,I Roam Alone,instagram,131,5814749,64.0
3922,สุดสัปดาห์แฟนคลับ,facebook,16217,5801034,147.0
2520,carissa_spg,instagram,845,5789064,65.0
1217,Kutcha Wants2playz,youtube,321,5718848,25.0
656,Egg family - ครอบครัวไข่,facebook,986,5688821,148.0
2712,katheryn_lee,instagram,747,5636043,66.0
2619,ha.hutatek,instagram,2392,5607959,67.0
4397,แย้ นนทพร ธีระวัฒนสุข,instagram,895,5599612,68.0
3147,ข้อความโดนๆ,facebook,4109,5576342,149.0
3817,วันนี้กินไรดีวะ,facebook,8918,5557196,150.0
4028,ห้องปกครองแอร์เย็นมว๊าก,facebook,271,5488477,151.0
2725,kiwtum,instagram,600,5484966,69.0
2424,Youngsoad - ยังโสด,facebook,3943,5482925,152.0
3993,หมูปิ้ง หมาหัวหงอก,facebook,2422,5468986,153.0
4049,อวยไส้แตกแหกไส้ฉีก,facebook,1569,5460662,154.0
255,Beartai : แบไต๋,facebook,4055,5444387,155.0
2661,ilaw,twitter,3080,5437538,6.0
1374,Mark Wiens,instagram,172,5420050,70.0
2459,a ดวง,facebook,6787,5411471,156.0
3390,ต้วมเตี้ยมแมวขี้หวง,facebook,2552,5388423,157.0
1585,Nawapol Thamrongrattanarit,facebook,3894,5385696,158.0
4072,อาจารย์อดัม,facebook,833,5379863,159.0
3074,กินข้าวกัน,facebook,821,5335381,160.0
3105,กินไม่หยุด,facebook,5389,5314107,161.0
3980,หมายจับกับบรรจง,facebook,2093,5307848,162.0
1604,Ninja And the Gang,facebook,906,5299387,163.0
2813,nongchat,facebook,2884,5214159,164.0
2751,maboktoh,instagram,4622,5206639,71.0
3891,สอนทำอาหาร by Chef Kwan,facebook,642,5186604,165.0
2345,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),facebook,1014,5179715,166.0
3734,รถใหม่วันนี้,facebook,3303,5144596,167.0
3553,ปลาทูหมาหน้าจิกไม่เกรงใจไข่,facebook,658,5061633,168.0
495,DIY microwave cake by ป้าหนึ่ง,facebook,704,5059679,169.0
3545,บ้านและสวน Baanlaesuan.com,facebook,19169,5058658,170.0
1319,MONEYLAND,facebook,680,5046361,171.0
2720,kidmakk,instagram,1708,5044760,72.0
3268,จอนนี่แมวศุภลักษณ์,facebook,2238,5041576,172.0
3640,พี่แว่น,facebook,1590,5017469,173.0
2039,SpriteDer SPD,youtube,34,5017383,26.0
3779,ลงทุนแมน,instagram,1216,5004029,73.0
3502,น้องง,facebook,1311,4904395,174.0
2079,Sunbeary,instagram,77,4872435,74.0
2612,gssspotted,facebook,697,4863525,175.0
2120,TONKLA,facebook,430,4860682,176.0
915,Group B,facebook,2947,4848590,177.0
2671,iphonemod,instagram,998,4802433,75.0
2593,forcejun,facebook,1702,4782991,178.0
357,Briannas Secret Club TH,youtube,403,4733408,27.0
4426,โดนไล่มาเล่นในนี้,facebook,1505,4716596,179.0
652,Edwin,facebook,1370,4712869,180.0
3748,รีวิววนไป,facebook,4137,4686639,181.0
1435,Migrationology,facebook,138,4676635,182.0
243,BeBell,instagram,264,4660297,76.0
2122,TONKLA,youtube,355,4628008,28.0
821,French Bulldog-French Pierre,facebook,963,4625633,183.0
3979,หมาจ๋า,instagram,425,4619443,77.0
3934,หญิงชรา กะ หมาน้อย,facebook,1133,4599836,184.0
1331,MUJI SAMA むじ さま,facebook,1319,4572367,185.0
1643,OPZ TV,youtube,157,4531903,29.0
3027,zbing z.,instagram,244,4492138,78.0
4477,ใต้เตียงดารา,twitter,452,4490918,7.0
4009,หัวกลม,facebook,1721,4459621,186.0
1245,Layzaracing Channel,facebook,969,4408655,187.0
3684,มนุษย์เงินเดือนพันธุ์ใหม่,facebook,1161,4390228,188.0
2453,ZuvapitSnap,facebook,795,4373285,189.0
953,HeHaa TV,facebook,736,4367491,190.0
3266,จบข่าว,facebook,3292,4348860,191.0
7,108Life,youtube,350,4346845,30.0
1193,Kingdom Of Tigers: ทูนหัวของบ่าว,instagram,677,4325054,79.0
3412,ทำเรื่องเล่นให้เป็นเรื่องใหญ่,facebook,968,4323386,192.0
1161,Kaykai Salaider Channel,facebook,162,4316479,193.0
1708,PRAEW,facebook,1131,4262080,194.0
1014,IceBarBer,youtube,304,4241811,31.0
1680,PEACH EAT LAEK,youtube,126,4235795,32.0
3497,นุ๊ก ไอดอ,instagram,358,4229164,80.0
1918,SANDEE CH,youtube,252,4214267,33.0
4127,เกล ปัญญตา,instagram,287,4192268,81.0
2312,VRZO,facebook,1756,4168519,195.0
497,DJDreamerTh,facebook,420,4151764,196.0
1547,My name is Napat,instagram,812,4150622,82.0
3084,กินเก่ง,facebook,5689,4146407,197.0
2880,plaifana,instagram,836,4115910,83.0
3863,สกายแล็กซี่,youtube,251,4113751,34.0
2313,VRZOchannel,youtube,213,4113693,35.0
448,CigaretteS,facebook,481,4068981,198.0
3227,คิดในใจ,facebook,887,4060530,199.0
3065,กิต งายย,youtube,258,4036927,36.0
2605,gracebuchita,instagram,110,4032626,84.0
3060,กาลครั้งหนึ่ง,facebook,879,4016493,200.0
1020,Infectious ง่ายนิดเดียว,facebook,1508,3966932,201.0
1147,Kanomroo,facebook,990,3948288,202.0
3012,wifi313,instagram,584,3919717,85.0
2731,kujingjunkk,instagram,897,3901911,86.0
1383,Maser Gamer,youtube,346,3864851,37.0
2482,ar-pae.com,facebook,5503,3861262,203.0
643,EatGuide เพื่อนซี้เวลาหิว,facebook,4779,3856589,204.0
2368,WellnessIdol,facebook,2240,3841884,205.0
4307,เลี้ยงลูกตามใจหมอ,facebook,1158,3833980,206.0
3613,พลอยเรียนจบแล้วทำไรต่อ?,facebook,405,3831420,207.0
3272,จอห์น ไรเดอร์ - John Rider,facebook,1649,3830097,208.0
238,Bay Riffer,youtube,342,3828502,38.0
4163,เฉโปแมวโง่,instagram,299,3820404,87.0
4150,เค้าเรียกผมว่าแมว,instagram,861,3791559,88.0
4425,โดนใจ Like เลย,facebook,3740,3781248,209.0
3469,นายแพทย์ประเสริฐ ผลิตผลการพิมพ์,facebook,4380,3764491,210.0
2708,kapookphat,instagram,329,3741174,89.0
42,7seven7214,instagram,1216,3734314,90.0
701,Ezqelusia,facebook,849,3733274,211.0
1469,Mojiko,facebook,837,3727405,212.0
1682,PEACHII,twitter,1257,3719226,8.0
3691,มะขวิด,facebook,613,3715145,213.0
1090,Jod  8riew,instagram,365,3695256,91.0
2986,toeyprim,instagram,379,3669051,92.0
2918,rietyrive,instagram,230,3667486,93.0
4520,ไปให้ถึง100ล้าน,facebook,968,3664434,214.0
2634,howyou.perfect,instagram,4711,3652705,94.0
1375,Mark Wiens,youtube,90,3651355,39.0
462,Contrast,facebook,452,3639213,215.0
4003,หม่อมถนัดแดก,youtube,130,3631453,40.0
2618,ha.chiphai,instagram,808,3631010,95.0
496,DJ.DREAMERTH,youtube,203,3630957,41.0
411,ChangTrixGet,facebook,3678,3626761,216.0
2232,The snack,facebook,1437,3622306,217.0
3115,กูจะไม่ยอมเห็นรูปนี้คนเดียวแน่ๆ,facebook,353,3606774,218.0
4274,เรน ทหารม้าโยโกฮาม่า,facebook,706,3604343,219.0
733,FahFah,instagram,283,3603508,96.0
2499,banidea.com,facebook,4792,3583859,220.0
3203,ครูฝ้าย Easy English,facebook,2247,3559848,221.0
3507,น้องสามชั้นพี่ใบพาย Samshan & Baipai,facebook,513,3544065,222.0
98,Ajumma Nammy,facebook,944,3526012,223.0
4094,อาหารเพื่อสุขภาพ,facebook,8165,3486314,224.0
3996,หมูหยองRacing Drag,facebook,9170,3476336,225.0
100,Ajumma Nammy,youtube,112,3474319,42.0
2937,skykikijung,instagram,440,3469112,97.0
3080,กินหนม,facebook,4128,3464648,226.0
880,Gluta Story,instagram,129,3464111,98.0
694,Extreme IT,facebook,3545,3461111,227.0
4167,เชอบัว ยูโร มายา,facebook,219,3461066,228.0
2124,TRUCK ONLY,facebook,2906,3452349,229.0
580,Drag Diesel Thailand,facebook,10992,3447631,230.0
3485,นี่เพื่อนไงจำไม่ได้หรอ?,facebook,414,3433540,231.0
631,Eat Here,facebook,15942,3370932,232.0
328,Bon Gamerz,youtube,357,3346173,43.0
1901,Runner's journey,facebook,2661,3344805,233.0
4182,เทพเจ้าคอนเน็ตโต้,facebook,2335,3324852,234.0
2247,Thidakarn,twitter,1019,3310093,9.0
2391,Wongnai Travel,facebook,9731,3303285,235.0
250,Bearhug,youtube,82,3298634,44.0
1983,Silapawattanatham - ศิลปวัฒนธรรม,facebook,5004,3271527,236.0
1438,Milky Praiya,instagram,303,3260622,99.0
2683,jewsippothai,instagram,723,3253094,100.0
2659,ilaw,facebook,4694,3244376,237.0
365,Buffalo Gags,facebook,830,3239809,238.0
445,Chujai Family,facebook,262,3214801,239.0
2695,juepakofficial,facebook,1205,3212565,240.0
2234,The snack,youtube,128,3202625,45.0
3332,ญี่ปุ่นเบาเบา,twitter,647,3194857,10.0
1410,Meijimill,youtube,83,3190644,46.0
1636,Nuttyploy,facebook,1368,3170437,241.0
2412,YimYam TV,youtube,349,3157893,47.0
302,Bivoyage,twitter,1434,3156966,11.0
3113,กูจะบอกอะไรให้นะ,facebook,1721,3144634,242.0
956,Headlightmag.com,facebook,1095,3139680,243.0
4162,เฉโปแมวโง่,facebook,371,3125768,244.0
3063,กิต งายย,facebook,213,3117613,245.0
2609,greatbiker.com,facebook,2563,3111475,246.0
2031,Spin9,twitter,809,3105312,12.0
4078,อาจุมม่าบ้าเกาหลี,twitter,1112,3073748,13.0
351,BoxSkin Channel,facebook,523,3064343,247.0
1897,Roundfinger,facebook,1180,3057996,248.0
4374,แพรี่พาย อมตา จิตตะเสนีย์,instagram,251,3056161,101.0
2754,malinmln,instagram,583,3055019,102.0
4355,แดก,facebook,9437,3044129,249.0
4287,เรียนเหอะ อยากสอน,facebook,1324,3037260,250.0
2396,XO Autosport,facebook,8569,3026512,251.0
857,Gamgy makeup,facebook,900,3018699,252.0
4542,ไอ่เป็ด,facebook,348,3017064,253.0
2512,bongtao,twitter,1231,3004886,14.0
3735,รบกวนตัดต่อภาพนี้ให้หน่อยสิ,facebook,684,3003011,254.0
4239,เป็นแม่แมว,instagram,571,2998476,103.0
1666,Oppa Thuchy,youtube,121,2994418,48.0
2910,reenp,instagram,151,2991187,104.0
886,Go Went Go : เที่ยว เว้น เที่ยว,facebook,1465,2974930,255.0
3008,widsawaphatiew,facebook,4331,2959591,256.0
1486,Money Coach,facebook,1035,2959357,257.0
3890,สอดอStyle,youtube,150,2957519,49.0
916,Group มนุษย์เงินเดือน,facebook,1521,2950611,258.0
4076,อาจุมม่าบ้าเกาหลี,facebook,3179,2934683,259.0
3899,สะบัดแปรง,youtube,220,2909255,50.0
1190,King SoYer,facebook,100,2893322,260.0
3853,วิ่งไหนดี : Wingnaidee,facebook,4439,2890314,261.0
3661,ฟอร์มหมาแก่,facebook,432,2867826,262.0
1763,Perfect English กับครูพี่แอน,facebook,1216,2866070,263.0
4300,เรไรรายวัน,facebook,4926,2865740,264.0
1504,MotoRival,facebook,3349,2842361,265.0
2216,The Monster House,facebook,565,2841436,266.0
3428,ธิชา วงศ์ทิพย์กานนท์,instagram,168,2831399,105.0
842,GODCAT,facebook,280,2829600,267.0
4413,โคตรคูล,youtube,267,2822360,51.0
4334,เสือร้องไห้,facebook,753,2816743,268.0
1568,Naefit,facebook,546,2814656,269.0
3167,คมเกิ๊น,facebook,16798,2813470,270.0
1038,JUST ดู IT.,facebook,2644,2809139,271.0
3331,ญี่ปุ่นเบาเบา,facebook,2438,2806508,272.0
1781,Pixel Crazy 8bit,facebook,359,2796110,273.0
1894,Roger Films Studio,facebook,1470,2783242,274.0
1824,Primrose,instagram,411,2781352,106.0
732,Fah Sarika,facebook,728,2777432,275.0
2696,juepakofficial,instagram,346,2765494,107.0
1671,PADIE,facebook,2101,2761863,276.0
730,FZK Frozenkiss,facebook,609,2753228,277.0
1688,PHOLFOODMAFIA - พลพรรคนักปรุง,facebook,3069,2743823,278.0
4362,แบกกล้องเที่ยว,facebook,4202,2740924,279.0
1694,PIT START,facebook,288,2738746,280.0
533,Dek Jew Chill Out,youtube,352,2732006,52.0
1580,Natt Chokejindachai,instagram,354,2731249,108.0
3441,นักรีวิวสมัครเล่น,facebook,3213,2728275,281.0
683,Euro ผู้น่ารัก-เป็นแจ็ครัสเซล,facebook,933,2696422,282.0
1642,OHVER,youtube,141,2694320,53.0
541,Deklaaon Channel,youtube,215,2692937,54.0
3682,มนุษย์เงินเดือน คิดมาก,facebook,1057,2686885,283.0
871,Ginyuudai - กินอยู่ได้,instagram,677,2663148,109.0
1692,PINTO GAMING,instagram,349,2657751,110.0
4454,โรแมนติกร้าย,instagram,226,2652277,111.0
3055,กายหงิด,facebook,190,2643126,284.0
3333,ณ ณภัทร,instagram,282,2641907,112.0
632,Eat Here,instagram,1131,2641421,113.0
584,DroidSans,facebook,4070,2632444,285.0
3359,ติน่า เทย์เลอร์ - Tina Taylor,facebook,1177,2592116,286.0
187,BABYMOJIKO,youtube,158,2580960,55.0
3969,หมอเวร,facebook,1786,2561196,287.0
3413,ทำเองอร่อยจัง,facebook,1523,2558977,288.0
1129,KRK Studio,facebook,369,2549974,289.0
726,FOOD BLOG BKK,instagram,1003,2535269,114.0
160,Attempt Z,facebook,546,2528579,290.0
1288,LowCost Thailand,facebook,1586,2527849,291.0
4336,เสือร้องไห้,youtube,228,2522648,56.0
3772,ลงทุนศาสตร์ - Investerest,facebook,1903,2518791,292.0
1148,Kanomroo,instagram,465,2515697,115.0
3599,ฝนตกเป็นหนัง,facebook,5221,2509552,293.0
4482,ไซร่า มิเรอร์,instagram,161,2505598,116.0
2901,proud_olives,instagram,652,2503149,117.0
2185,ThaiRun ฮับความสุขนักวิ่ง,facebook,10024,2498950,294.0
514,Dao’s Healthy Diary,instagram,1099,2493148,118.0
310,Blacklist Secret,instagram,575,2482949,119.0
2323,Vivienne Wonder,twitter,1432,2456506,15.0
2928,seburan,twitter,1860,2455659,16.0
2523,chahna_mint,instagram,694,2450951,120.0
2810,nnewys,facebook,693,2446264,295.0
66,ADBIG,facebook,3575,2438369,296.0
2349,Watchman,facebook,1082,2420205,297.0
